aloe-drinks [0.4220431119076207, 0.8846153846153846]
aloe-soup [1.1591214967921455, 0.7593582852638979]
aloe-chocolate [0.8581024890388947, 0.8524590180219849]
burger-chocolate [1.8810544637365079, 0.7064220205359503]
aloe-jelly [1.675530083536163, 0.6259842510298481]
aloe-noodles [0.9751909907827986, 0.7393617021276596]
aloe-salmon [1.8184246261600907, 0.6055363321799307]
aloe-cabbage [2.379849269296775, 0.7295373676086235]
aloe-ribs [1.2500324595359065, 0.6814516148259563]
aloe-wings [0.4017849756318306, 0.9240506334143852]
aloe-grapes [1.8999537887098101, 0.6797153031274518]
burger-cabbage [1.9328651370633627, 0.76328502530637]
aloe-pizza [0.825539459025741, 0.8504983396625202]
aloe-carrots [1.421403403523602, 0.7468354415289963]
aloe-burger [0.8736677590538474, 0.8137254901960784]
aloe-fries [0.5055967078049313, 0.841004184599202]
aloe-chips [0.19730616936077902, 0.9348534215545033]
aloe-gummies [3.2153482242715206, 0.5579399142909971]
burger-carrots [0.8250417325122297, 0.8347107423238518]
aloe-icecream [1.9587519597807688, 0.7322175747181082]
burger-chips [0.1816855052189028, 0.9570815450643777]
aloe-candied_fruits [0.7156748570216243, 0.8397212516555388]
burger-candied_fruits [0.5206958464053875, 0.8685446017784691]
aloe-pickles [1.5601616700490315, 0.5497835501705929]
burger-drinks [0.30524814065817435, 0.9322916666666666]
cabbage-drinks [1.5142327763360262, 0.8227848116355606]
cabbage-chocolate [5.841082244791011, 0.5053763440860215]
burger-soup [1.5101547322969522, 0.7256637183965835]
burger-jelly [0.5796574089262221, 0.8666666679912143]
burger-grapes [1.4058551609804089, 0.8357487928464217]
burger-noodles [1.1208014864670603, 0.7982456161264788]
burger-fries [0.4901238520940145, 0.8848484855709654]
burger-ribs [6.427413644461796, 0.5114942535586741]
burger-salmon [0.8018788207408993, 0.6744186031263928]
burger-pizza [0.43510624769837125, 0.8854625550660793]
burger-wings [0.2938342863933806, 0.9141104294478528]
cabbage-carrots [0.7541118697686628, 0.8620689657040898]
burger-gummies [0.7275923415549896, 0.8805031394058803]
cabbage-grapes [2.2322612010257346, 0.6936619701519818]
cabbage-jelly [2.6712952216775503, 0.7509727626459144]
cabbage-noodles [2.18843752738693, 0.5706806251515892]
burger-icecream [1.7581409382097648, 0.7939393943006342]
cabbage-chips [0.9849932570611277, 0.7774193563768941]
cabbage-fries [0.46893030441989586, 0.8925619815006729]
cabbage-candied_fruits [0.9345299461262365, 0.7620689655172413]
cabbage-gummies [0.4302842152320733, 0.830508473566023]
burger-pickles [0.7501228802902683, 0.840764331969486]
cabbage-icecream [3.550799164890258, 0.5082644630562175]
cabbage-soup [2.649945292974773, 0.7578947380969399]
cabbage-salmon [2.518126744215619, 0.726027397260274]
cabbage-ribs [0.7787690841819186, 0.7808764914117486]
cabbage-wings [3.702104028065999, 0.6458333333333334]
cabbage-pizza [3.7621352233384786, 0.5657894736842105]
cabbage-pickles [1.4311956309864664, 0.6752136757231166]
candied_fruits-chocolate [0.8292669142995562, 0.8080357142857143]
candied_fruits-drinks [0.25922582431891816, 0.9465020576131687]
candied_fruits-carrots [0.970604800897149, 0.7292307692307692]
carrots-chocolate [2.046414970812215, 0.610859725270336]
candied_fruits-soup [0.037392977206986776, 0.9795918367346939]
candied_fruits-jelly [0.2940353854867442, 0.9429657796943143]
candied_fruits-noodles [0.29272697360235916, 0.934010152284264]
candied_fruits-grapes [0.323589147781504, 0.8758620689655172]
carrots-drinks [0.38729653288336363, 0.9007352941176471]
candied_fruits-chips [1.7669248626201968, 0.7246835443037974]
candied_fruits-salmon [0.4633896414865583, 0.8791946300724208]
candied_fruits-ribs [0.7017466460684394, 0.754863813229572]
candied_fruits-fries [0.5256693055552821, 0.8830645142063018]
candied_fruits-pizza [0.8567272330484083, 0.8225806459303825]
candied_fruits-wings [1.6077007113433466, 0.7439024395089808]
candied_fruits-gummies [0.19333886707919334, 0.9421487603305785]
candied_fruits-icecream [1.0534454536053441, 0.8870967741935484]
carrots-chips [2.4379520616669588, 0.6289855081102123]
candied_fruits-pickles [2.3562766869862872, 0.6375]
carrots-grapes [1.84114819167176, 0.7398119097966759]
carrots-jelly [0.8113038539886475, 0.7671232876712328]
carrots-fries [1.305632612765481, 0.696750904678868]
carrots-noodles [0.2642270242486281, 0.9247787610619469]
carrots-gummies [0.9156578897989984, 0.7749077503971508]
carrots-icecream [1.9165753573717192, 0.7689530692375954]
carrots-soup [0.7804837714301215, 0.8266666666666667]
chips-drinks [0.8156873711275057, 0.908745247148289]
chips-chocolate [1.1756975223433297, 0.7735849067849933]
carrots-ribs [1.3060303117845442, 0.7167832188672952]
carrots-salmon [0.7209544143545519, 0.7522935781639286]
carrots-pizza [0.7817571201007318, 0.8820058997050148]
carrots-wings [0.6759631378542293, 0.8254545458880338]
chocolate-drinks [0.5860516193101732, 0.820143886607328]
carrots-pickles [1.809298548556615, 0.6394052045717559]
chips-jelly [0.04548827577843051, 0.9787985865724381]
chips-grapes [0.1086520683861548, 0.9677419343302327]
chips-noodles [0.2817815303253139, 0.9078341008331369]
chips-fries [0.9402396305283504, 0.7350746277552932]
chips-ribs [0.2292665057018776, 0.9350180507566954]
chips-soup [0.06698284541360205, 0.9907407407407407]
chips-gummies [0.09942363987086725, 0.9580152671755725]
chips-pizza [0.6966791225202156, 0.8000000007224806]
chips-icecream [1.6070257407515796, 0.7761194038746962]
chips-salmon [0.7082702390052987, 0.8679245290516308]
chips-wings [0.14421059614523574, 0.943609022556391]
chips-pickles [1.6796369263759026, 0.7384615384615385]
drinks-soup [0.649811841807999, 0.811188812856074]
chocolate-soup [0.6635200329448866, 0.826086964296258]
drinks-jelly [1.000069114140102, 0.8095238078208197]
drinks-noodles [1.7640943328539531, 0.7847222222222222]
chocolate-jelly [2.2310156747230194, 0.6792452852680998]
drinks-salmon [1.91786630153656, 0.7387755116637872]
chocolate-salmon [3.698904106297444, 0.38144329896907214]
chocolate-noodles [1.3646908203760784, 0.7096774219184794]
drinks-wings [1.001826805772045, 0.9067357512953368]
chocolate-ribs [6.388699678034564, 0.3529411788080253]
drinks-ribs [1.0141138855148764, 0.803921568627451]
chocolate-wings [1.2246067154575402, 0.8591549278984607]
drinks-grapes [0.6982317680045019, 0.9029535867493866]
drinks-pizza [0.3946354105046693, 0.9066147859922179]
chocolate-grapes [2.274482911632907, 0.7741935458234561]
chocolate-pizza [3.9033068754140614, 0.5194174745707836]
drinks-fries [0.7188247106014154, 0.8358974362031008]
